team_in_possession,ball_zone_x,ball_zone_y,mean_norm_hull,mean_dist_k,n_frames
England,0,4,84.05667670461752,27.964896691948926,28
England,0,5,70.12253054603613,15.880865254465501,16
England,1,1,72.20306730404504,16.5249555704287,14
England,1,2,58.09880737989536,12.573524569697614,29
England,1,3,68.09025372858963,17.825996350204576,43
England,1,4,64.52161586317412,18.013966290582143,41
England,1,5,65.19004951086656,16.0906245202719,28
England,1,7,66.83963503202469,15.531303356213142,14
England,2,0,73.71315807093757,14.352328952551366,20
England,2,1,63.13804302763088,14.112642493939653,35
England,2,2,62.265616965049986,14.478565506114451,48
England,2,3,60.94212417529439,17.20577805399749,47
England,2,4,56.41056521341167,16.679809352893827,35
England,2,5,63.83243265241738,13.89342097294883,46
England,2,6,64.89878115230793,14.737729695761805,16
England,2,7,64.0960891008122,13.192136937949895,22
England,3,0,62.81835458505364,12.522777371374456,29
England,3,1,69.87709872972464,12.561816263919333,36
England,3,2,61.66048723716376,14.518696886603145,51
England,3,3,59.17569443377658,14.44486074668841,32
England,3,4,56.89837162229301,14.635539952023164,47
England,3,5,61.80509056465666,12.927798431135972,41
England,3,6,65.89291298280438,11.826674875992751,33
England,3,7,76.01983048125243,12.429687714562256,36
England,4,0,64.14762714291872,11.64998931384155,61
England,4,1,62.89130350549707,12.16568266277802,64
England,4,2,59.06825082206342,11.101195331567821,89
England,4,3,59.83502029393745,11.570600989879958,70
England,4,4,60.2553166853793,11.944555145899498,54
England,4,5,61.16644214709912,12.12270907027174,82
England,4,6,58.45262959664717,11.032753123795402,49
England,4,7,67.581990485949,12.815243072078182,44
England,5,0,66.37026479937444,10.907066668859152,55
England,5,1,61.05455897945527,10.974840986146283,69
England,5,2,58.00257654686323,10.400516952114655,77
England,5,3,54.86849090458183,11.211067477053952,63
England,5,4,54.3796886818577,11.302608445016949,67
England,5,5,60.182465595936044,11.048701041604977,59
England,5,6,61.80633966965959,10.795336541648643,63
England,5,7,63.29062643746568,11.7697939869218,45
England,6,0,62.91170004977979,11.67660875737522,67
England,6,1,61.10316294772747,11.028269248965378,64
England,6,2,50.15551484073615,10.317466347155776,77
England,6,3,49.29963878696129,10.479366502948206,61
England,6,4,51.4913199703346,10.605464228059876,78
England,6,5,50.731859317743464,10.062044192411454,83
England,6,6,54.91548548766731,10.755458351116038,58
England,6,7,57.49234946880564,11.155849967677964,51
England,7,0,61.17541137286979,11.050366998162565,82
England,7,1,55.460683455848674,9.557751880210159,77
England,7,2,51.16383918802171,8.862575235368125,74
England,7,3,43.21212727060825,8.311811345176492,52
England,7,4,42.523733954114284,8.333299734573005,54
England,7,5,48.36391332266426,8.437519429435254,70
England,7,6,52.12999954617118,9.331925240615186,61
England,7,7,60.14738606900646,11.573367153605695,62
England,8,0,56.196193964241175,10.485568126532096,68
England,8,1,50.03474223315533,9.027082833473802,67
England,8,2,43.2551488041917,8.007102312514238,56
England,8,3,38.83910062108698,7.192631955219019,28
England,8,4,34.715224989948915,7.043202365634377,28
England,8,5,41.49827246171965,8.473753868387275,52
