player,team,urs_sum,off_ball_potential_sum,off_ball_captured_sum,xepv_mean,n_confident_candidates,n_received,receiver_conf_rate,primary_role,minutes_played,macro_role,urs_per90,off_ball_potential_per90,n_confident_per90,capitalization_rate,latency_rate,urs_pct_within_role,potential_pct_within_role,xepv_mean_pct_within_role,latency_pct_within_role
Adrien Rabiot,France,2.707638740246219,4.370111381916608,1.662472641670389,0.01741080231839286,251,90,0.35856573705179284,Left Center Midfield,373,MID,0.6533176585044497,1.0544504674865811,60.56300268096515,0.38041882606234056,0.6195811739376594,83.1,70.8,95.4,95.4
Kieran Trippier,England,3.5766975638908796,6.183880029801032,2.6071824659101526,0.015937835128353176,388,155,0.39948453608247425,Left Back,498,FB,0.6463911260043759,1.117568680084524,70.12048192771084,0.4216094835840532,0.5783905164159469,93.0,93.0,77.2,54.4
Christian Dannemann Eriksen,Denmark,2.492017675584153,4.1248618993564055,1.632844223772252,0.018497138562136348,223,83,0.3721973094170404,Left Attacking Midfield,353,CAM,0.6353586141715971,1.0516645069180637,56.85552407932012,0.3958542767279122,0.6041457232720878,90.0,90.0,60.0,75.0
Hakan Çalhanoğlu,Turkey,2.484150909581466,4.380594269108154,1.8964433595266879,0.01598757032521224,274,118,0.4306569343065693,Right Defensive Midfield,361,MID,0.6193174012806978,1.092114914736105,68.31024930747922,0.4329191984065635,0.5670808015934365,81.5,75.4,78.5,75.4
Phil Foden,England,4.258813902604564,7.82222811412309,3.563414211518525,0.017460330611881895,448,187,0.4174107142857143,Left Wing,620,WIDE,0.6182149213458238,1.1354847262436742,65.03225806451613,0.45554976913607964,0.5444502308639203,94.6,94.6,40.5,18.9
Antonio Rüdiger,Germany,3.321346078102515,5.6173495997851255,2.2960035216826107,0.013063603720430524,430,165,0.38372093023255816,Right Center Back,488,CB,0.6125433340762835,1.0359866065177485,79.3032786885246,0.4087343115996265,0.5912656884003735,98.4,98.4,93.4,70.5
Vitor Machado Ferreira,Portugal,2.3799350186465213,5.014843175556206,2.6349081569096846,0.014969681121063302,335,161,0.48059701492537316,Right Defensive Midfield,353,MID,0.6067822993716343,1.2785719144477579,85.41076487252124,0.5254218456427487,0.47457815435725126,80.0,92.3,67.7,12.3
Granit Xhaka,Switzerland,3.2872530674053815,6.431521811593657,3.1442687441882753,0.015097469041299666,426,190,0.4460093896713615,Left Defensive Midfield,489,MID,0.6050159019764506,1.1837156708454584,78.40490797546012,0.4888840987090055,0.5111159012909945,78.5,83.1,69.2,38.5
Bryan Cristante,Italy,0.9397435701824285,1.6834926719648107,0.7437491017823822,0.013576553806167829,124,48,0.3870967741935484,Left Center Midfield,140,MID,0.6041208665458468,1.0822452891202354,79.71428571428571,0.4417893312920393,0.5582106687079607,76.9,73.8,36.9,69.2
Luka Sučić,Croatia,0.9922239964139902,1.8008060760496376,0.8085820796356475,0.018375572204588138,98,40,0.40816326530612246,Center Attacking Midfield,148,WIDE,0.6033794572787778,1.0950847759761309,59.5945945945946,0.44901119026064396,0.550988809739356,91.9,91.9,51.4,24.3
N'Golo Kanté,France,3.4531692151299747,6.0623885004157625,2.609219285285788,0.016746929559159567,362,150,0.4143646408839779,Right Center Midfield,519,MID,0.5988154708317875,1.051281242846664,62.77456647398844,0.4303946019142201,0.5696053980857799,75.4,69.2,90.8,78.5
Jamal Musiala,Germany,2.799852902670244,4.366086719859517,1.566233817189273,0.0194048298660423,225,76,0.3377777777777778,Right Wing,423,WIDE,0.5957133835468604,0.9289546212467058,47.87234042553192,0.3587271434772757,0.6412728565227244,89.2,86.5,70.3,78.4
Aurélien Djani Tchouaméni,France,3.123118137710847,6.08335230219643,2.960234164485583,0.014588374825411103,417,192,0.460431654676259,Center Defensive Midfield,476,MID,0.5905055302394459,1.1502136705833585,78.84453781512605,0.48661231791832493,0.5133876820816751,73.8,78.5,60.0,41.5
Lorenzo Pellegrini,Italy,1.3735112223331538,2.0917397519159824,0.7182285295828283,0.018189041321008542,115,45,0.391304347826087,Left Wing,213,WIDE,0.5803568545069664,0.8838336979926686,48.59154929577465,0.34336419190052136,0.6566358080994786,86.5,81.1,48.6,86.5
